사업장명,좌표정보(Y),좌표정보(X),위생업태명
카페드림(서울시립대점),453459.5542,205232.4666,커피숍
카페 융,446109.9316,202483.677,커피숍
커피앤드,453256.426,193440.5499,커피숍
파란만잔 가락시장역점,443521.2453,210586.3199,커피숍
플러스82 노원점,461665.8258,206216.9742,커피숍
세븐일레븐 가재울아이파크점,452681.3249,192380.0485,커피숍
로우커피스탠드 강남점,443676.8705,202395.5649,커피숍
보헤미안박이추커피 상암점,453213.1985,190282.7592,커피숍
퓨로커피 경기대 본관점,451450.2395,196608.7286,커피숍
할리스 강남우리라운지점,444548.6907,203744.3723,커피숍
산토리니의 하루,454282.0196,194767.3822,커피숍
카페 앤,450506.3552,194376.7856,커피숍
갓프레소,444421.8285,195550.5107,커피숍
이디야(건대스타시티2호점),448506.2187,206217.4347,커피숍
바나타이거 상봉역점,454863.0117,207466.4769,커피숍
할리스커피 서대문농협생명빌딩점,451165.3672,197147.3946,커피숍
포비아워스 강동이케아점,451564.47,213847.9237,커피숍
메이,452469.3819,193101.5566,커피숍
파이브피시방,455469.0028,203607.4273,커피숍
커피니 신설점,452711.8857,202213.1425,커피숍
돌커피(DOL COFFEE),453000.9114,204818.7769,커피숍
한국맥도날드 서초뱅뱅점,443109.5099,202638.9488,패스트푸드
매머드익스프레스 수서역점,442912.8276,208992.8629,커피숍
올바른커피,453883.5324,194318.3935,커피숍
플렘므,451328.959,193086.881,커피숍
카페오키,446998.232,188767.5843,커피숍
에스쁘아(Espoir),454344.9736,208636.4384,커피숍
(주)커피빈코리아 가산디지털단지점,442205.8675,189452.3825,커피숍
한국맥도날드(유)연세대점,450703.601,194336.3961,패스트푸드
대교문고북스캔,450443.3572,194565.6693,커피숍
Lchf cafe(르체프 카페),443525.8516,202495.203,커피숍
블루빈스커피 면목점,453995.732,207736.6206,커피숍
타카슬라임카페,455090.7183,207923.7459,커피숍
브이카페 연희동점,451485.0166,193621.7497,커피숍
아라마크(주) 북카페지점,443909.5237,200229.9518,커피숍
스위트807,442424.0746,198510.0576,커피숍
카페단지(CAFE DAN-JI),443680.264,198549.9499,커피숍
스윗포미,457462.7667,207357.5952,커피숍
오늘,451801.0331,193919.0841,커피숍
Brown Holic(브라운 홀릭) 커피 마시는 다람쥐,440219.9612,203001.709,커피숍
해시태그,443448.7317,200855.6514,커피숍
카페누리,445583.4969,192864.4338,커피숍
